voucher_code,category,claimed,redeemed
xXC11629,Thời trang và Phong cách sống,0.0,1.75
xXC11629,Tiện ích - Nhà mạng,0.0,1.75
xXC11629,Vận tải - Giao vận,0.0,1.75
xXC11629,Ẩm thực,0.0,1.75
xXC12543,Bán lẻ FMCG,16.5,4.25
xXC12543,Mẹ & bé,16.5,4.25
xXC12543,Sức khỏe - Làm đẹp,16.5,4.25
xXC12543,Thương mại điện tử,16.5,4.25
xXC12543,Thời trang và Phong cách sống,16.5,4.25
xXC12543,Tiện ích - Nhà mạng,16.5,4.25
xXC12543,Vận tải - Giao vận,16.5,4.25
xXC12543,Ẩm thực,16.5,4.25
xXC12555,Bán lẻ FMCG,87.5,57.375
xXC12555,Mẹ & bé,87.5,57.375
xXC12555,Sức khỏe - Làm đẹp,87.5,57.375
xXC12555,Thương mại điện tử,87.5,57.375
xXC12555,Thời trang và Phong cách sống,87.5,57.375
xXC12555,Tiện ích - Nhà mạng,87.5,57.375
xXC12555,Vận tải - Giao vận,87.5,57.375
xXC12555,Ẩm thực,87.5,57.375
xXC12557,Bán lẻ FMCG,0.0,10.75
xXC12557,Mẹ & bé,0.0,10.75
xXC12557,Sức khỏe - Làm đẹp,0.0,10.75
xXC12557,Thương mại điện tử,0.0,10.75
xXC12557,Thời trang và Phong cách sống,0.0,10.75
xXC12557,Tiện ích - Nhà mạng,0.0,10.75
xXC12557,Vận tải - Giao vận,0.0,10.75
xXC12557,Ẩm thực,0.0,10.75
xXC12558,Bán lẻ FMCG,0.0,0.375
xXC12558,Mẹ & bé,0.0,0.375
xXC12558,Sức khỏe - Làm đẹp,0.0,0.375
xXC12558,Thương mại điện tử,0.0,0.375
xXC12558,Thời trang và Phong cách sống,0.0,0.375
xXC12558,Tiện ích - Nhà mạng,0.0,0.375
xXC12558,Vận tải - Giao vận,0.0,0.375
xXC12558,Ẩm thực,0.0,0.375
xXC2417,Bán lẻ FMCG,0.0,0.625
xXC2417,Mẹ & bé,0.0,0.625
xXC2417,Sức khỏe - Làm đẹp,0.0,0.625
xXC2417,Thương mại điện tử,0.0,0.625
xXC2417,Thời trang và Phong cách sống,0.0,0.625
xXC2417,Tiện ích - Nhà mạng,0.0,0.625
xXC2417,Vận tải - Giao vận,0.0,0.625
xXC2417,Ẩm thực,0.0,0.625
xXC2654,Bán lẻ FMCG,87.5,71.875
xXC2654,Mẹ & bé,87.5,71.875
xXC2654,Sức khỏe - Làm đẹp,87.5,71.875
xXC2654,Thương mại điện tử,87.5,71.875
xXC2654,Thời trang và Phong cách sống,87.5,71.875
xXC2654,Tiện ích - Nhà mạng,87.5,71.875
xXC2654,Vận tải - Giao vận,87.5,71.875
xXC2654,Ẩm thực,87.5,71.875
xXC3467,Bán lẻ FMCG,25.0,18.375
xXC3467,Mẹ & bé,25.0,18.375
xXC3467,Sức khỏe - Làm đẹp,25.0,18.375
xXC3467,Thương mại điện tử,25.0,18.375
xXC3467,Thời trang và Phong cách sống,25.0,18.375
xXC3467,Tiện ích - Nhà mạng,25.0,18.375
xXC3467,Vận tải - Giao vận,25.0,18.375
xXC3467,Ẩm thực,25.0,18.375
xXC3704,Bán lẻ FMCG,225.0,224.5
xXC3704,Mẹ & bé,225.0,224.5
xXC3704,Sức khỏe - Làm đẹp,225.0,224.5
xXC3704,Thương mại điện tử,225.0,224.5
xXC3704,Thời trang và Phong cách sống,225.0,224.5
xXC3704,Tiện ích - Nhà mạng,225.0,224.5
xXC3704,Vận tải - Giao vận,225.0,224.5
xXC3704,Ẩm thực,225.0,224.5
xXC3705,Bán lẻ FMCG,229.375,233.75
xXC3705,Mẹ & bé,229.375,233.75
xXC3705,Sức khỏe - Làm đẹp,229.375,233.75
xXC3705,Thương mại điện tử,229.375,233.75
xXC3705,Thời trang và Phong cách sống,229.375,233.75
xXC3705,Tiện ích - Nhà mạng,229.375,233.75
xXC3705,Vận tải - Giao vận,229.375,233.75
xXC3705,Ẩm thực,229.375,233.75
xXC3706,Bán lẻ FMCG,294.625,296.75
xXC3706,Mẹ & bé,294.625,296.75
xXC3706,Sức khỏe - Làm đẹp,294.625,296.75
xXC3706,Thương mại điện tử,294.625,296.75
xXC3706,Thời trang và Phong cách sống,294.625,296.75
xXC3706,Tiện ích - Nhà mạng,294.625,296.75
xXC3706,Vận tải - Giao vận,294.625,296.75
xXC3706,Ẩm thực,294.625,296.75
xXC3706_Clone,Bán lẻ FMCG,0.0,0.125
xXC3706_Clone,Mẹ & bé,0.0,0.125
xXC3706_Clone,Sức khỏe - Làm đẹp,0.0,0.125
xXC3706_Clone,Thương mại điện tử,0.0,0.125
xXC3706_Clone,Thời trang và Phong cách sống,0.0,0.125
xXC3706_Clone,Tiện ích - Nhà mạng,0.0,0.125
xXC3706_Clone,Vận tải - Giao vận,0.0,0.125
xXC3706_Clone,Ẩm thực,0.0,0.125
xXC3707,Bán lẻ FMCG,1474.75,1462.75
xXC3707,Mẹ & bé,1474.75,1462.75
xXC3707,Sức khỏe - Làm đẹp,1474.75,1462.75
xXC3707,Thương mại điện tử,1474.75,1462.75
xXC3707,Thời trang và Phong cách sống,1474.75,1462.75
xXC3707,Tiện ích - Nhà mạng,1474.75,1462.75
xXC3707,Vận tải - Giao vận,1474.75,1462.75
xXC3707,Ẩm thực,1474.75,1462.75
xXC3713,Bán lẻ FMCG,48.25,50.0
xXC3713,Mẹ & bé,48.25,50.0
xXC3713,Sức khỏe - Làm đẹp,48.25,50.0
xXC3713,Thương mại điện tử,48.25,50.0
xXC3713,Thời trang và Phong cách sống,48.25,50.0
xXC3713,Tiện ích - Nhà mạng,48.25,50.0
xXC3713,Vận tải - Giao vận,48.25,50.0
xXC3713,Ẩm thực,48.25,50.0
xXC3714,Bán lẻ FMCG,160.875,160.375
xXC3714,Mẹ & bé,160.875,160.375
xXC3714,Sức khỏe - Làm đẹp,160.875,160.375
xXC3714,Thương mại điện tử,160.875,160.375
xXC3714,Thời trang và Phong cách sống,160.875,160.375
xXC3714,Tiện ích - Nhà mạng,160.875,160.375
xXC3714,Vận tải - Giao vận,160.875,160.375
xXC3714,Ẩm thực,160.875,160.375
xXC3715,Bán lẻ FMCG,555.375,543.625
xXC3715,Mẹ & bé,555.375,543.625
xXC3715,Sức khỏe - Làm đẹp,555.375,543.625
xXC3715,Thương mại điện tử,555.375,543.625
xXC3715,Thời trang và Phong cách sống,555.375,543.625
xXC3715,Tiện ích - Nhà mạng,555.375,543.625
xXC3715,Vận tải - Giao vận,555.375,543.625
xXC3715,Ẩm thực,555.375,543.625
xXC3716,Bán lẻ FMCG,0.0,7.25
xXC3716,Mẹ & bé,0.0,7.25
xXC3716,Sức khỏe - Làm đẹp,0.0,7.25
xXC3716,Thương mại điện tử,0.0,7.25
xXC3716,Thời trang và Phong cách sống,0.0,7.25
xXC3716,Tiện ích - Nhà mạng,0.0,7.25
xXC3716,Vận tải - Giao vận,0.0,7.25
xXC3716,Ẩm thực,0.0,7.25
xXC3722,Bán lẻ FMCG,107.75,105.5
xXC3722,Mẹ & bé,107.75,105.5
xXC3722,Sức khỏe - Làm đẹp,107.75,105.5
xXC3722,Thương mại điện tử,107.75,105.5
xXC3722,Thời trang và Phong cách sống,107.75,105.5
xXC3722,Tiện ích - Nhà mạng,107.75,105.5
xXC3722,Vận tải - Giao vận,107.75,105.5
xXC3722,Ẩm thực,107.75,105.5
xXC3723,Bán lẻ FMCG,104.75,104.375
xXC3723,Mẹ & bé,104.75,104.375
xXC3723,Sức khỏe - Làm đẹp,104.75,104.375
xXC3723,Thương mại điện tử,104.75,104.375
xXC3723,Thời trang và Phong cách sống,104.75,104.375
xXC3723,Tiện ích - Nhà mạng,104.75,104.375
xXC3723,Vận tải - Giao vận,104.75,104.375
xXC3723,Ẩm thực,104.75,104.375
xXC3724,Bán lẻ FMCG,373.625,372.5
xXC3724,Mẹ & bé,373.625,372.5
xXC3724,Sức khỏe - Làm đẹp,373.625,372.5
xXC3724,Thương mại điện tử,373.625,372.5
xXC3724,Thời trang và Phong cách sống,373.625,372.5
xXC3724,Tiện ích - Nhà mạng,373.625,372.5
xXC3724,Vận tải - Giao vận,373.625,372.5
xXC3724,Ẩm thực,373.625,372.5
xXC3725,Bán lẻ FMCG,356.625,343.375
xXC3725,Mẹ & bé,356.625,343.375
xXC3725,Sức khỏe - Làm đẹp,356.625,343.375
xXC3725,Thương mại điện tử,356.625,343.375
xXC3725,Thời trang và Phong cách sống,356.625,343.375
xXC3725,Tiện ích - Nhà mạng,356.625,343.375
xXC3725,Vận tải - Giao vận,356.625,343.375
xXC3725,Ẩm thực,356.625,343.375
xXC3726,Bán lẻ FMCG,0.0,0.125
xXC3726,Mẹ & bé,0.0,0.125
xXC3726,Sức khỏe - Làm đẹp,0.0,0.125
xXC3726,Thương mại điện tử,0.0,0.125
xXC3726,Thời trang và Phong cách sống,0.0,0.125
xXC3726,Tiện ích - Nhà mạng,0.0,0.125
xXC3726,Vận tải - Giao vận,0.0,0.125
xXC3726,Ẩm thực,0.0,0.125
xXC3740,Bán lẻ FMCG,46.375,44.25
xXC3740,Mẹ & bé,46.375,44.25
xXC3740,Sức khỏe - Làm đẹp,46.375,44.25
xXC3740,Thương mại điện tử,46.375,44.25
xXC3740,Thời trang và Phong cách sống,46.375,44.25
xXC3740,Tiện ích - Nhà mạng,46.375,44.25
xXC3740,Vận tải - Giao vận,46.375,44.25
xXC3740,Ẩm thực,46.375,44.25
xXC3741,Bán lẻ FMCG,27.875,28.0
xXC3741,Mẹ & bé,27.875,28.0
xXC3741,Sức khỏe - Làm đẹp,27.875,28.0
xXC3741,Thương mại điện tử,27.875,28.0
xXC3741,Thời trang và Phong cách sống,27.875,28.0
xXC3741,Tiện ích - Nhà mạng,27.875,28.0
xXC3741,Vận tải - Giao vận,27.875,28.0
xXC3741,Ẩm thực,27.875,28.0
xXC3743,Bán lẻ FMCG,85.5,83.0
xXC3743,Mẹ & bé,85.5,83.0
xXC3743,Sức khỏe - Làm đẹp,85.5,83.0
xXC3743,Thương mại điện tử,85.5,83.0
xXC3743,Thời trang và Phong cách sống,85.5,83.0
xXC3743,Tiện ích - Nhà mạng,85.5,83.0
xXC3743,Vận tải - Giao vận,85.5,83.0
xXC3743,Ẩm thực,85.5,83.0
xXC3755,Bán lẻ FMCG,20.375,20.375
xXC3755,Mẹ & bé,20.375,20.375
xXC3755,Sức khỏe - Làm đẹp,20.375,20.375
xXC3755,Thương mại điện tử,20.375,20.375
xXC3755,Thời trang và Phong cách sống,20.375,20.375
xXC3755,Tiện ích - Nhà mạng,20.375,20.375
xXC3755,Vận tải - Giao vận,20.375,20.375
xXC3755,Ẩm thực,20.375,20.375
xXC3761,Bán lẻ FMCG,0.0,0.125
xXC3761,Mẹ & bé,0.0,0.125
xXC3761,Sức khỏe - Làm đẹp,0.0,0.125
xXC3761,Thương mại điện tử,0.0,0.125
xXC3761,Thời trang và Phong cách sống,0.0,0.125
xXC3761,Tiện ích - Nhà mạng,0.0,0.125
xXC3761,Vận tải - Giao vận,0.0,0.125
xXC3761,Ẩm thực,0.0,0.125
xXC3767,Bán lẻ FMCG,15.375,15.0
xXC3767,Mẹ & bé,15.375,15.0
xXC3767,Sức khỏe - Làm đẹp,15.375,15.0
xXC3767,Thương mại điện tử,15.375,15.0
xXC3767,Thời trang và Phong cách sống,15.375,15.0
xXC3767,Tiện ích - Nhà mạng,15.375,15.0
xXC3767,Vận tải - Giao vận,15.375,15.0
xXC3767,Ẩm thực,15.375,15.0
xXC4711,Bán lẻ FMCG,0.0,1.75
xXC4711,Mẹ & bé,0.0,1.75
xXC4711,Sức khỏe - Làm đẹp,0.0,1.75
xXC4711,Thương mại điện tử,0.0,1.75
xXC4711,Thời trang và Phong cách sống,0.0,1.75
xXC4711,Tiện ích - Nhà mạng,0.0,1.75
xXC4711,Vận tải - Giao vận,0.0,1.75
xXC4711,Ẩm thực,0.0,1.75
xXC4760,Bán lẻ FMCG,0.0,5.625
xXC4760,Mẹ & bé,0.0,5.625
xXC4760,Sức khỏe - Làm đẹp,0.0,5.625
xXC4760,Thương mại điện tử,0.0,5.625
xXC4760,Thời trang và Phong cách sống,0.0,5.625
xXC4760,Tiện ích - Nhà mạng,0.0,5.625
xXC4760,Vận tải - Giao vận,0.0,5.625
xXC4760,Ẩm thực,0.0,5.625
xXC4774,Bán lẻ FMCG,0.0,2.625
xXC4774,Mẹ & bé,0.0,2.625
xXC4774,Sức khỏe - Làm đẹp,0.0,2.625
xXC4774,Thương mại điện tử,0.0,2.625
xXC4774,Thời trang và Phong cách sống,0.0,2.625
xXC4774,Tiện ích - Nhà mạng,0.0,2.625
xXC4774,Vận tải - Giao vận,0.0,2.625
xXC4774,Ẩm thực,0.0,2.625
xXC4783,Bán lẻ FMCG,0.0,4.0
xXC4783,Mẹ & bé,0.0,4.0
xXC4783,Sức khỏe - Làm đẹp,0.0,4.0
xXC4783,Thương mại điện tử,0.0,4.0
xXC4783,Thời trang và Phong cách sống,0.0,4.0
xXC4783,Tiện ích - Nhà mạng,0.0,4.0
xXC4783,Vận tải - Giao vận,0.0,4.0
xXC4783,Ẩm thực,0.0,4.0
xXC4860,Bán lẻ FMCG,0.0,1.125
xXC4860,Mẹ & bé,0.0,1.125
xXC4860,Sức khỏe - Làm đẹp,0.0,1.125
xXC4860,Thương mại điện tử,0.0,1.125
xXC4860,Thời trang và Phong cách sống,0.0,1.125
xXC4860,Tiện ích - Nhà mạng,0.0,1.125
xXC4860,Vận tải - Giao vận,0.0,1.125
xXC4860,Ẩm thực,0.0,1.125
xXC4866,Bán lẻ FMCG,0.0,0.375
xXC4866,Mẹ & bé,0.0,0.375
xXC4866,Sức khỏe - Làm đẹp,0.0,0.375
xXC4866,Thương mại điện tử,0.0,0.375
xXC4866,Thời trang và Phong cách sống,0.0,0.375
xXC4866,Tiện ích - Nhà mạng,0.0,0.375
xXC4866,Vận tải - Giao vận,0.0,0.375
xXC4866,Ẩm thực,0.0,0.375
xXC5033,Bán lẻ FMCG,0.0,0.375
xXC5033,Mẹ & bé,0.0,0.375
xXC5033,Sức khỏe - Làm đẹp,0.0,0.375
xXC5033,Thương mại điện tử,0.0,0.375
xXC5033,Thời trang và Phong cách sống,0.0,0.375
xXC5033,Tiện ích - Nhà mạng,0.0,0.375
xXC5033,Vận tải - Giao vận,0.0,0.375
xXC5033,Ẩm thực,0.0,0.375
xXC5086,Bán lẻ FMCG,0.0,2.25
xXC5086,Mẹ & bé,0.0,2.25
xXC5086,Sức khỏe - Làm đẹp,0.0,2.25
xXC5086,Thương mại điện tử,0.0,2.25
xXC5086,Thời trang và Phong cách sống,0.0,2.25
xXC5086,Tiện ích - Nhà mạng,0.0,2.25
xXC5086,Vận tải - Giao vận,0.0,2.25
xXC5086,Ẩm thực,0.0,2.25
xXC5103,Bán lẻ FMCG,0.0,1.0
xXC5103,Mẹ & bé,0.0,1.0
xXC5103,Sức khỏe - Làm đẹp,0.0,1.0
xXC5103,Thương mại điện tử,0.0,1.0
xXC5103,Thời trang và Phong cách sống,0.0,1.0
xXC5103,Tiện ích - Nhà mạng,0.0,1.0
xXC5103,Vận tải - Giao vận,0.0,1.0
xXC5103,Ẩm thực,0.0,1.0
xXC5162,Bán lẻ FMCG,0.0,6.5
xXC5162,Mẹ & bé,0.0,6.5
xXC5162,Sức khỏe - Làm đẹp,0.0,6.5
xXC5162,Thương mại điện tử,0.0,6.5
xXC5162,Thời trang và Phong cách sống,0.0,6.5
xXC5162,Tiện ích - Nhà mạng,0.0,6.5
xXC5162,Vận tải - Giao vận,0.0,6.5
xXC5162,Ẩm thực,0.0,6.5
xXC5181,Bán lẻ FMCG,0.0,2.25
xXC5181,Mẹ & bé,0.0,2.25
xXC5181,Sức khỏe - Làm đẹp,0.0,2.25
xXC5181,Thương mại điện tử,0.0,2.25
xXC5181,Thời trang và Phong cách sống,0.0,2.25
xXC5181,Tiện ích - Nhà mạng,0.0,2.25
xXC5181,Vận tải - Giao vận,0.0,2.25
xXC5181,Ẩm thực,0.0,2.25
xXC5218,Bán lẻ FMCG,15.875,6.75
xXC5218,Mẹ & bé,15.875,6.75
xXC5218,Sức khỏe - Làm đẹp,15.875,6.75
xXC5218,Thương mại điện tử,15.875,6.75
xXC5218,Thời trang và Phong cách sống,15.875,6.75
xXC5218,Tiện ích - Nhà mạng,15.875,6.75
xXC5218,Vận tải - Giao vận,15.875,6.75
xXC5218,Ẩm thực,15.875,6.75
xXC5508,Bán lẻ FMCG,0.0,1.375
xXC5508,Mẹ & bé,0.0,1.375
xXC5508,Sức khỏe - Làm đẹp,0.0,1.375
xXC5508,Thương mại điện tử,0.0,1.375
xXC5508,Thời trang và Phong cách sống,0.0,1.375
xXC5508,Tiện ích - Nhà mạng,0.0,1.375
xXC5508,Vận tải - Giao vận,0.0,1.375
xXC5508,Ẩm thực,0.0,1.375
xXC579,Bán lẻ FMCG,0.0,3.375
xXC579,Mẹ & bé,0.0,3.375
xXC579,Sức khỏe - Làm đẹp,0.0,3.375
xXC579,Thương mại điện tử,0.0,3.375
xXC579,Thời trang và Phong cách sống,0.0,3.375
xXC579,Tiện ích - Nhà mạng,0.0,3.375
xXC579,Vận tải - Giao vận,0.0,3.375
xXC579,Ẩm thực,0.0,3.375
xXC618,Bán lẻ FMCG,25.0,19.5
xXC618,Mẹ & bé,25.0,19.5
xXC618,Sức khỏe - Làm đẹp,25.0,19.5
xXC618,Thương mại điện tử,25.0,19.5
xXC618,Thời trang và Phong cách sống,25.0,19.5
xXC618,Tiện ích - Nhà mạng,25.0,19.5
xXC618,Vận tải - Giao vận,25.0,19.5
xXC618,Ẩm thực,25.0,19.5
xXC6198,Bán lẻ FMCG,0.0,0.75
xXC6198,Mẹ & bé,0.0,0.75
xXC6198,Sức khỏe - Làm đẹp,0.0,0.75
xXC6198,Thương mại điện tử,0.0,0.75
xXC6198,Thời trang và Phong cách sống,0.0,0.75
xXC6198,Tiện ích - Nhà mạng,0.0,0.75
xXC6198,Vận tải - Giao vận,0.0,0.75
xXC6198,Ẩm thực,0.0,0.75
xXC6438,Bán lẻ FMCG,0.0,1.25
xXC6438,Mẹ & bé,0.0,1.25
xXC6438,Sức khỏe - Làm đẹp,0.0,1.25
xXC6438,Thương mại điện tử,0.0,1.25
xXC6438,Thời trang và Phong cách sống,0.0,1.25
xXC6438,Tiện ích - Nhà mạng,0.0,1.25
xXC6438,Vận tải - Giao vận,0.0,1.25
xXC6438,Ẩm thực,0.0,1.25
xXC6895,Bán lẻ FMCG,0.0,0.5
xXC6895,Mẹ & bé,0.0,0.5
xXC6895,Sức khỏe - Làm đẹp,0.0,0.5
xXC6895,Thương mại điện tử,0.0,0.5
xXC6895,Thời trang và Phong cách sống,0.0,0.5
xXC6895,Tiện ích - Nhà mạng,0.0,0.5
xXC6895,Vận tải - Giao vận,0.0,0.5
xXC6895,Ẩm thực,0.0,0.5
xXC8525,Bán lẻ FMCG,0.0,0.25
xXC8525,Mẹ & bé,0.0,0.25
xXC8525,Sức khỏe - Làm đẹp,0.0,0.25
xXC8525,Thương mại điện tử,0.0,0.25
xXC8525,Thời trang và Phong cách sống,0.0,0.25
xXC8525,Tiện ích - Nhà mạng,0.0,0.25
xXC8525,Vận tải - Giao vận,0.0,0.25
xXC8525,Ẩm thực,0.0,0.25
xXC8791,Bán lẻ FMCG,16.625,3.25
xXC8791,Mẹ & bé,16.625,3.25
xXC8791,Sức khỏe - Làm đẹp,16.625,3.25
xXC8791,Thương mại điện tử,16.625,3.25
xXC8791,Thời trang và Phong cách sống,16.625,3.25
xXC8791,Tiện ích - Nhà mạng,16.625,3.25
xXC8791,Vận tải - Giao vận,16.625,3.25
xXC8791,Ẩm thực,16.625,3.25
xXC89,Bán lẻ FMCG,0.0,0.75
xXC89,Mẹ & bé,0.0,0.75
xXC89,Sức khỏe - Làm đẹp,0.0,0.75
xXC89,Thương mại điện tử,0.0,0.75
xXC89,Thời trang và Phong cách sống,0.0,0.75
xXC89,Tiện ích - Nhà mạng,0.0,0.75
xXC89,Vận tải - Giao vận,0.0,0.75
xXC89,Ẩm thực,0.0,0.75
xXC8900,Bán lẻ FMCG,50.0,32.875
xXC8900,Mẹ & bé,50.0,32.875
xXC8900,Sức khỏe - Làm đẹp,50.0,32.875
xXC8900,Thương mại điện tử,50.0,32.875
xXC8900,Thời trang và Phong cách sống,50.0,32.875
xXC8900,Tiện ích - Nhà mạng,50.0,32.875
xXC8900,Vận tải - Giao vận,50.0,32.875
xXC8900,Ẩm thực,50.0,32.875
xXC9242,Bán lẻ FMCG,50.0,32.0
xXC9242,Mẹ & bé,50.0,32.0
xXC9242,Sức khỏe - Làm đẹp,50.0,32.0
xXC9242,Thương mại điện tử,50.0,32.0
xXC9242,Thời trang và Phong cách sống,50.0,32.0
xXC9242,Tiện ích - Nhà mạng,50.0,32.0
xXC9242,Vận tải - Giao vận,50.0,32.0
xXC9242,Ẩm thực,50.0,32.0
