voucher_code,category,sub_category,claimed,redeemed
MA_CANIFA_17012024_SF4518,Thời trang và Phong cách sống,Thời trang,1200.0,115.0
MA_CHANEL_20012024_SF4507,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc",15.0,2.0
MA_CHANEL_20012024_SF4507,Thời trang và Phong cách sống,Thời trang,15.0,2.0
MA_CHANEL_20012024_SF4507,Thời trang và Phong cách sống,Trang sức - Phụ kiện,15.0,2.0
MA_CMSEDU_15112023_SF4204,Giáo dục,Khóa học,1.0,0.0
MA_COACH_20012024_SF4514,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc",7.666666666666667,0.3333333333333333
MA_COACH_20012024_SF4514,Thời trang và Phong cách sống,Thời trang,7.666666666666667,0.3333333333333333
MA_COACH_20012024_SF4514,Thời trang và Phong cách sống,Trang sức - Phụ kiện,7.666666666666667,0.3333333333333333
MA_COFFILIA_20012024_SF4515,Ẩm thực,Đồ uống,150.0,5.0
MA_DAIRYQUEEN_05012024_SF4483,Ẩm thực,Cửa hàng kem/bánh/kẹo,146.0,4.0
MA_DAIRYQUEEN_05012024_SF4484,Ẩm thực,Cửa hàng kem/bánh/kẹo,1543.0,192.0
MA_DEVEMEN_16122023_SF4360,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc",1.0,0.0
MA_DHC_19102023_SF4030,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc",2.0,0.0
MA_DIOR_20012024_SF4506,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc",22.0,4.333333333333333
MA_DIOR_20012024_SF4506,Thời trang và Phong cách sống,Thời trang,22.0,4.333333333333333
MA_DIOR_20012024_SF4506,Thời trang và Phong cách sống,Trang sức - Phụ kiện,22.0,4.333333333333333
MA_ELITEFITNESS_21042023_SF3219,Sức khỏe - Làm đẹp,Phòng tập,6.0,4.0
MA_ELITEFITNESS_21042023_SF3220,Sức khỏe - Làm đẹp,Phòng tập,86.0,22.0
MA_ESTEELAUDER_20012024_SF4512,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc",14.0,1.0
MA_ESTEELAUDER_20012024_SF4512,Thời trang và Phong cách sống,Thời trang,14.0,1.0
MA_ESTEELAUDER_20012024_SF4512,Thời trang và Phong cách sống,Trang sức - Phụ kiện,14.0,1.0
MA_GREENCOOK_15112023_SF4199,Nhà cửa - Đời sống,Gia dụng,206.0,84.0
MA_GSM_18092023_SF3852,Vận tải - Giao vận,Ứng dụng gọi xe - Taxi,185.0,209.0
MA_GSM_18092023_SF3856,Vận tải - Giao vận,Ứng dụng gọi xe - Taxi,769.0,654.0
MA_HATHORBEAUTYSPA_12102023_SF3968,Sức khỏe - Làm đẹp,Spa - Thẩm mỹ,9.0,0.0
MA_HATHORBEAUTYSPA_12102023_SF3969,Sức khỏe - Làm đẹp,Spa - Thẩm mỹ,36.0,4.0
MA_HATHORBEAUTYSPA_26052023_SF3334,Sức khỏe - Làm đẹp,Spa - Thẩm mỹ,105.0,21.0
MA_HATHORBEAUTYSPA_26052023_SF3335,Sức khỏe - Làm đẹp,Spa - Thẩm mỹ,49.0,4.0
MA_HAXUVINA_15112023_SF4286,Thương mại điện tử,Thương mại điện tử,3.0,0.0
MA_HEALTHYCARE_25122023_SF4383,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc",7.5,2.5
MA_HEALTHYCARE_25122023_SF4383,Sức khỏe - Làm đẹp,Thực phẩm chức năng - CSSK,7.5,2.5
MA_HEALTHYCARE_25122023_SF4384,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc",4.5,0.5
MA_HEALTHYCARE_25122023_SF4384,Sức khỏe - Làm đẹp,Thực phẩm chức năng - CSSK,4.5,0.5
MA_HEALTHYCARE_29122023_SF4386,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc",5.5,0.0
MA_HEALTHYCARE_29122023_SF4386,Sức khỏe - Làm đẹp,Thực phẩm chức năng - CSSK,5.5,0.0
MA_HIGHLANDS_01022024_SF4599,Ẩm thực,Đồ uống,13539.0,6151.0
MA_HIGHLANDS_01022024_SF4600,Ẩm thực,Đồ uống,4719.0,861.0
MA_HIGHLANDS_01022024_SF4601,Ẩm thực,Đồ uống,6681.0,1167.0
MA_HIGHLANDS_01022024_SF4602,Ẩm thực,Đồ uống,16579.0,6635.0
MA_HIGHLANDS_02012024_SF4406,Ẩm thực,Đồ uống,18436.0,8826.0
MA_HIGHLANDS_02012024_SF4407,Ẩm thực,Đồ uống,2815.0,494.0
MA_HIGHLANDS_02012024_SF4410,Ẩm thực,Đồ uống,10301.0,4492.0
MA_HIGHLANDS_02012024_SF4414,Ẩm thực,Đồ uống,4957.0,1329.0
MA_HIGHLANDS_02012024_SF4475,Ẩm thực,Đồ uống,7138.0,3393.0
MA_HIGHLANDS_10012024_SF4447,Ẩm thực,Đồ uống,2356.0,697.0
MA_HIGHLANDS_10012024_SF4448,Ẩm thực,Đồ uống,4624.0,1286.0
MA_HISPA_19122023_SF4368,Sức khỏe - Làm đẹp,Spa - Thẩm mỹ,7.0,1.0
MA_HYPOXI_01122023_SF4267,Sức khỏe - Làm đẹp,Phòng tập,49.0,1.0
MA_Hoayeuthuong_05122023_SF4277,Nhà cửa - Đời sống,Hoa & Quà lưu niệm,246.0,34.0
MA_JUPVIEC_15112023_SF4205,Nhà cửa - Đời sống,Dịch vụ hỗ trợ gia đình,11.0,5.0
MA_KACHI_18102023_SF4032,Khác,0,1.5,0.5
MA_KACHI_18102023_SF4032,Nhà cửa - Đời sống,Gia dụng,1.5,0.5
MA_KATINATCAFE_30012024_SF4559,Ẩm thực,Đồ uống,300.0,160.0
MA_KHRUABAANTHAI_15122023_SF4363,Ẩm thực,Nhà hàng - Quán ăn,461.0,21.0
MA_KORIN_12012024_SF4496,Nhà cửa - Đời sống,Gia dụng,12.0,0.0
MA_LACOSTE_16112023_SF4211,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc",0.6666666666666666,0.0
MA_LACOSTE_16112023_SF4211,Thời trang và Phong cách sống,Thời trang,0.6666666666666666,0.0
MA_LACOSTE_16112023_SF4211,Thời trang và Phong cách sống,Trang sức - Phụ kiện,0.6666666666666666,0.0
MA_LACOSTE_20012024_SF4502,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc",8.0,0.3333333333333333
MA_LACOSTE_20012024_SF4502,Thời trang và Phong cách sống,Thời trang,8.0,0.3333333333333333
MA_LACOSTE_20012024_SF4502,Thời trang và Phong cách sống,Trang sức - Phụ kiện,8.0,0.3333333333333333
MA_LADOMAX_29122023_SF4382,Nhà cửa - Đời sống,Gia dụng,64.0,17.0
MA_LEMONDESTEAK_02012024_SF4428,Ẩm thực,Nhà hàng - Quán ăn,1618.0,71.0
MA_LIFETRONS_18102023_SF4197,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc",1.0,0.0
MA_LOCATVN_05122023_SF4276,Nhà cửa - Đời sống,Hoa & Quà lưu niệm,274.0,51.0
MA_MAC_20012024_SF4510,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc",24.666666666666668,3.0
MA_MAC_20012024_SF4510,Thời trang và Phong cách sống,Thời trang,24.666666666666668,3.0
MA_MAC_20012024_SF4510,Thời trang và Phong cách sống,Trang sức - Phụ kiện,24.666666666666668,3.0
MA_MAYBELLINE_21122023_SF4359,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc",49.0,6.0
MA_MERRIMAN_28092023_SF3886,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc",158.0,134.0
MA_MISHIO_05012024_SF4431,Khác,0,24.0,5.5
MA_MISHIO_05012024_SF4431,Nhà cửa - Đời sống,Gia dụng,24.0,5.5
MA_MISHIO_05012024_SF4432,Khác,0,23.0,5.5
MA_MISHIO_05012024_SF4432,Nhà cửa - Đời sống,Gia dụng,23.0,5.5
MA_MISHIO_05012024_SF4433,Khác,0,47.0,4.0
MA_MISHIO_05012024_SF4433,Nhà cửa - Đời sống,Gia dụng,47.0,4.0
MA_MISHIO_08122023_SF4269,Khác,0,202.5,69.5
MA_MISHIO_08122023_SF4269,Nhà cửa - Đời sống,Gia dụng,202.5,69.5
MA_MLB_20012024_SF4503,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc",75.0,7.0
MA_MLB_20012024_SF4503,Thời trang và Phong cách sống,Thời trang,75.0,7.0
MA_MLB_20012024_SF4503,Thời trang và Phong cách sống,Trang sức - Phụ kiện,75.0,7.0
MA_MYKINGDOM_05022024_SF4614,Mẹ & bé,0,71.0,7.0
MA_May10_22012024_SF4603,Thời trang và Phong cách sống,Thời trang,259.0,14.0
MA_NHAKHOAVIETDUC_20012024_SF4499,Sức khỏe - Làm đẹp,Nha Khoa,40.0,0.0
MA_NIKE_20012024_SF4505,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc",126.0,11.666666666666666
MA_NIKE_20012024_SF4505,Thời trang và Phong cách sống,Thời trang,126.0,11.666666666666666
MA_NIKE_20012024_SF4505,Thời trang và Phong cách sống,Trang sức - Phụ kiện,126.0,11.666666666666666
MA_NINESHIELD_28122023_SF4379,Nhà cửa - Đời sống,Gia dụng,101.0,24.0
MA_NUXE_21122023_SF4339,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc",14.0,1.0
MA_Nagakawa_25122023_SF4397,Nhà cửa - Đời sống,Gia dụng,2.0,0.0
MA_OBAGI_21122023_SF4358,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc",392.0,43.0
MA_PNJSILVER_12012024_SF4478,Thời trang và Phong cách sống,Trang sức - Phụ kiện,2000.0,1440.0
MA_PNJ_12012024_SF4479,Thời trang và Phong cách sống,Trang sức - Phụ kiện,6459.0,4361.0
MA_PNJ_12012024_SF4480,Thời trang và Phong cách sống,Trang sức - Phụ kiện,6262.0,5092.0
MA_POTICO_15122023_SF4362,Nhà cửa - Đời sống,Hoa & Quà lưu niệm,193.0,16.0
MA_QUANNHAUTUDO_20012024_SF4516,Ẩm thực,Nhà hàng - Quán ăn,676.0,18.0
MA_RAUMAMIX_01122023_SF4265,Ẩm thực,Đồ uống,667.0,77.0
MA_SALADIN_28122023_SF4378,Dịch vụ tài chính,Bảo hiểm,16.0,1.0
MA_SHANGCHI_02012024_SF4430,Ẩm thực,Nhà hàng - Quán ăn,952.0,112.0
MA_SHISEIDO_05112023_SF4140,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc",831.0,257.0
MA_SPA100THAOMOC_26122023_SF4350,Sức khỏe - Làm đẹp,Spa - Thẩm mỹ,103.0,0.0
MA_SPA100THAOMOC_26122023_SF4419,Sức khỏe - Làm đẹp,Spa - Thẩm mỹ,18.0,0.0
MA_STYLEBYPNJ_12012024_SF4476,Thời trang và Phong cách sống,Trang sức - Phụ kiện,579.0,113.0
MA_STYLEBYPNJ_12012024_SF4477,Thời trang và Phong cách sống,Trang sức - Phụ kiện,1140.0,455.0
MA_SWAROVSKI_20012024_SF4509,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc",22.0,1.3333333333333333
MA_SWAROVSKI_20012024_SF4509,Thời trang và Phong cách sống,Thời trang,22.0,1.3333333333333333
MA_SWAROVSKI_20012024_SF4509,Thời trang và Phong cách sống,Trang sức - Phụ kiện,22.0,1.3333333333333333
MA_SWENSENSCAKE_04012024_SF4482,Ẩm thực,Cửa hàng kem/bánh/kẹo,23.0,2.0
MA_SWENSENS_01102023_SF3872,Ẩm thực,Cửa hàng kem/bánh/kẹo,634.0,90.0
MA_SWENSENS_04012024_SF4481,Ẩm thực,Cửa hàng kem/bánh/kẹo,466.0,64.0
MA_TEFAL_22122023_SF4352,Nhà cửa - Đời sống,Gia dụng,32.0,3.0
MA_TEKY_16112023_SF4252,Giáo dục,Khóa học,422.0,54.0
MA_TMVNGOCDUNG_12102023_SF3958,Sức khỏe - Làm đẹp,Spa - Thẩm mỹ,3.0,1.0
MA_TMVNGOCDUNG_25012024_SF4523,Sức khỏe - Làm đẹp,Spa - Thẩm mỹ,239.0,41.0
MA_VERSACE_20012024_SF4513,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc",12.333333333333334,2.0
MA_VERSACE_20012024_SF4513,Thời trang và Phong cách sống,Thời trang,12.333333333333334,2.0
MA_VERSACE_20012024_SF4513,Thời trang và Phong cách sống,Trang sức - Phụ kiện,12.333333333333334,2.0
MA_WINSMILE_12092023_SF3867,Sức khỏe - Làm đẹp,Nha Khoa,174.0,27.0
MA_WINSMILE_12092023_SF3868,Sức khỏe - Làm đẹp,Nha Khoa,43.0,0.0
MA_WINSMILE_12102023_SF3970,Sức khỏe - Làm đẹp,Nha Khoa,41.0,1.0
MA_WINSMILE_12102023_SF3971,Sức khỏe - Làm đẹp,Nha Khoa,36.0,2.0
MA_YAKIMONO_02012024_SF4429,Ẩm thực,Nhà hàng - Quán ăn,1699.0,177.0
MA_YSL_20012024_SF4508,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc",7.333333333333333,0.3333333333333333
MA_YSL_20012024_SF4508,Thời trang và Phong cách sống,Thời trang,7.333333333333333,0.3333333333333333
MA_YSL_20012024_SF4508,Thời trang và Phong cách sống,Trang sức - Phụ kiện,7.333333333333333,0.3333333333333333
MA_YUHUA_15112023_SF4253,Ẩm thực,Nhà hàng - Quán ăn,556.0,16.0
MA_iBasic_10122023_SF4278,Thời trang và Phong cách sống,Thời trang,782.0,129.0
MA_iBasic_10122023_SF4367,Thời trang và Phong cách sống,Thời trang,116.0,30.0
MICHAELKORS_20012024_SF4472,Sức khỏe - Làm đẹp,"Mỹ phẩm - Chăm sóc da, tóc",13.666666666666666,0.6666666666666666
